title,author,release_date,length
Habits for Happiness,"Written by: Dr Tim Sharp, Tathagata Mandal - translator",Release Date: 02-01-22,4 hrs and 1 min
The 7 Principles of Public Speaking,Written by: Richard Zeoli,Release Date: 01-02-13,5 hrs
The House of Strange Stories,Written by: Ruskin Bond,Release Date: 21-05-24,6 hrs and 27 mins
Dungeon Heroes Omnibus: Books 1-6,"Written by: Shane Hammond, Marcus Sloss",Release Date: 27-02-25,73 hrs and 51 mins
What Is Life?,"Written by: Erwin Schrödinger, Roger Penrose - foreword",Release Date: 22-01-19,6 hrs and 8 mins
Rogue Protocol,Written by: Martha Wells,Release Date: 07-08-18,3 hrs and 46 mins
The Three Musketeers,Written by: Alexandre Dumas,Release Date: 03-03-09,23 hrs and 32 mins
Satyajit Ray Ki Kahaniyan [Stories of Satyajit Ray],Written by: Satyajit Rai,Release Date: 24-05-19,8 hrs and 12 mins
Dhyan Yoga ध्यान योग: अंतरात्मा से मिलन [Dhyan Yoga: Union with the Soul],Written by: Om Swami,Release Date: 06-05-24,6 hrs and 21 mins
The Dream Hotel,Written by: Laila Lalami,Release Date: 04-03-25,11 hrs and 42 mins
"Lose Fat, Get Fittr",Written by: Jitendra Chouksey,Release Date: 01-03-23,6 hrs and 50 mins
Heaven's River,Written by: Dennis E. Taylor,Release Date: 24-09-20,16 hrs and 57 mins
"The Horse, the Wheel, and Language",Written by: David W. Anthony,Release Date: 11-09-18,18 hrs and 25 mins
A Tale of Two Cities,Written by: Charles Dickens,Release Date: 09-12-19,14 hrs and 13 mins
The Not to Do List,Written by: Rolf Dobelli,Release Date: 27-02-25,4 hrs and 10 mins
Jadugarni [Sorceress],Written by: Surender Mohan Pathak,Release Date: 23-05-24,8 hrs and 24 mins
Breath By Breath,"Written by: Larry Rosenberg, David Guy, Jon Kabat-Zinn - foreward",Release Date: 09-12-14,7 hrs and 33 mins
The Healing Power of Mind,"Written by: Tulku Thondup, Daniel Goleman - foreword",Release Date: 09-12-14,6 hrs and 40 mins
"Change Your Thinking, Change Your Life",Written by: Brian Tracy,Release Date: 30-05-14,8 hrs and 57 mins
Sapiens,Written by: Yuval Noah Harari,Release Date: 13-03-19,21 hrs and 42 mins
Ambedkar's India,Written by: B.R. Ambedkar,Release Date: 04-04-22,4 hrs and 32 mins
Time Management (Hindi Edition),Written by: Sudhir Dixit,Release Date: 09-08-19,2 hrs and 34 mins
You Killed Me First,Written by: John Marrs,Release Date: 04-03-25,9 hrs and 44 mins
Es Dhammo Sanantano Vol. 1,Written by: OSHO,Release Date: 26-05-17,13 hrs and 54 mins
Jin Sutra Vol.1,Written by: OSHO,Release Date: 26-05-17,16 hrs and 57 mins
The Secret,Written by: Osho,Release Date: 10-02-22,36 hrs and 55 mins
How to Achieve Financial Independence and Retire Early,"Written by: JD Roth, The Great Courses",Release Date: 16-02-21,4 hrs and 39 mins
Vivekanand [Vivekananda],Written by: Rajendra Mohan Bhatnagar,Release Date: 14-10-21,12 hrs and 50 mins
Yes Minister & Yes Prime Minister - The Complete Audio Collection,"Written by: Antony Jay, Jonathan Lynn",Release Date: 28-07-14,18 hrs and 28 mins
Walking in Zen Sitting in Zen,Written by: OSHO,Release Date: 24-02-22,26 hrs and 35 mins
"The Tantra Experience (The Tantra Vision, Vol. 1)",Written by: Osho,Release Date: 18-03-16,16 hrs and 21 mins
Million Dollar Habits,Written by: Brian Tracy,Release Date: 08-09-20,8 hrs and 3 mins
The Gopi Diaries: Finding Love,Written by: Sudha Murthy,Release Date: 05-02-25,51 mins
Animal Farm (Hindi Edition),Written by: George Orwell,Release Date: 26-10-21,3 hrs and 54 mins
"If You're Not First, You're Last",Written by: Grant Cardone,Release Date: 27-02-12,7 hrs and 47 mins
Vivekanand Ki Atmakatha (Hindi Edition),Written by: Sankar,Release Date: 08-11-24,17 hrs and 6 mins
A Guide to Stress Free Living,Written by: Om Swami,Release Date: 06-05-24,3 hrs and 52 mins
Collapse,Written by: Vladislav M. Zubok,Release Date: 30-11-21,23 hrs and 50 mins
The Krishna Key,Written by: Ashwin Sanghi,Release Date: 01-01-17,12 hrs and 24 mins
Sweet Bean Paste,"Written by: Durian Sukegawa, Alison Watts - translator",Release Date: 07-06-22,5 hrs and 4 mins
Krishna 360 Degrees (Hindi Edition),Written by: Devdutt Pattanaik,Release Date: 15-04-24,4 hrs and 27 mins
Anahad Mein Bisram,Written by: OSHO,Release Date: 26-05-17,15 hrs and 45 mins
The Marriage Bargain,Written by: Jennifer Probst,Release Date: 31-07-12,6 hrs and 14 mins
Bharat ka Rakshak Maharaja Suheldev (Hindi Edition),Written by: Amish Tripathi,Release Date: 29-09-22,12 hrs and 13 mins
Artificial Condition,Written by: Martha Wells,Release Date: 08-05-18,3 hrs and 21 mins
Dharmayoddha Kalki: Avatar of Vishnu,Written by: Kevin Missal,Release Date: 14-10-21,12 hrs and 34 mins
Absolute Tao,Written by: OSHO,Release Date: 08-12-15,15 hrs and 15 mins
Finding Flow,Written by: Mihaly Csikszentmihalyi,Release Date: 07-12-15,5 hrs and 6 mins
Complete Book of Yoga,Written by: Swami Vivekananda,Release Date: 26-10-22,28 hrs and 16 mins
Dhyan Ki Bhumika (Hindi),Written by: OSHO,Release Date: 01-03-16,1 hr and 33 mins
Gumnaam Hai Koi (Hindi Edition),Written by: Bharat Pandey,Release Date: 02-12-24,35 hrs and 47 mins
Rich Dad Poor Dad (Hindi Edition),Written by: Robert Kiyosaki,Release Date: 19-12-24,11 hrs and 5 mins
Crime and Punishment,Written by: Fyodor Dostoyevsky,Release Date: 21-09-20,22 hrs and 27 mins
Oversubscribed,Written by: Daniel Priestley,Release Date: 09-03-20,6 hrs and 33 mins
Shakespeare Ki Kahaniyaan [Shakespeare's Stories],Written by: William Shakespeare,Release Date: 20-01-22,4 hrs and 13 mins
Narmadayan (Marathi Edition),Written by: Uday Nagnath,Release Date: 09-03-23,8 hrs and 7 mins
Vayam Raksham (Hindi Edition),Written by: Acharya Chatursen,Release Date: 14-10-21,24 hrs and 27 mins
Lapoojhanna (Hindi Edition),Written by: Ashok Pande,Release Date: 07-02-24,9 hrs and 35 mins
The Psychology of Money (Marathi Edition),Written by: Morgan Housel,Release Date: 12-09-23,8 hrs and 50 mins
Kya Khoya Kya Paya [What Was Lost What Was Found],Written by: Atal Bihari Vajpayee,Release Date: 14-10-21,2 hrs and 2 mins
The Sialkot Saga,Written by: Ashwin Sanghi,Release Date: 01-01-17,16 hrs and 56 mins
Pariyon Ki Kahaniya [Fairy Tales],Written by: Jacob Grimm,Release Date: 08-12-21,2 hrs and 15 mins
1991,Written by: Sanjaya Baru,Release Date: 11-07-17,5 hrs and 25 mins
White Nights,"Written by: Fyodor Dostoyevsky, Ronald Meyer - translator",Release Date: 06-03-25,3 hrs and 3 mins
Him,Written by: JD Kirk,Release Date: 10-02-25,9 hrs and 28 mins
Raja Muthirai: Part 1 (Tamil Edition),Written by: Sandilyan,Release Date: 29-01-25,13 hrs and 39 mins
The Stand-In,Written by: Lily Chu,Release Date: 15-07-21,10 hrs and 55 mins
"Bulls, Bears and Other Beasts",Written by: Santosh Nair,Release Date: 18-01-22,11 hrs and 8 mins
Ninety Days,Written by: Anirudhya Mitra,Release Date: 13-07-22,9 hrs and 32 mins
Timeless Wisdom on Finance,Written by: Anil Lamba,Release Date: 05-02-25,1 hr and 49 mins
The Power of Your Subconscious Mind (Marathi Edition),Written by: Joseph Murphy,Release Date: 19-10-23,9 hrs and 40 mins
Ravana 360 Degrees (Hindi Edition),Written by: Devdutt Pattanaik,Release Date: 15-04-24,5 hrs and 10 mins
Ikigai (Hindi Edition),"Written by: Hector Garcia, Fransesc Miralles",Release Date: 14-12-22,4 hrs and 42 mins
Consider Me,Written by: Becka Mack,Release Date: 13-09-22,20 hrs and 42 mins
The Art of War (Marathi Edition),Written by: Sun Tzu,Release Date: 01-12-24,6 hrs and 1 min
The Night Manager,Written by: John le Carré,Release Date: 30-01-25,19 hrs
Turbulence,Written by: E. J. Noyes,Release Date: 02-11-19,9 hrs and 10 mins
Swayam Ka Utterdayitva (Hindi),Written by: OSHO,Release Date: 01-03-16,1 hr and 23 mins
A Touch of Darkness,Written by: Scarlett St. Clair,Release Date: 30-06-20,11 hrs and 6 mins
The Ikigai Journey (Hindi Edition),"Written by: Hector Garcia, Fransesc Miralles",Release Date: 14-12-22,6 hrs and 39 mins
The Arts of Seduction,Written by: Seema Anand,Release Date: 10-12-18,7 hrs and 27 mins
Think and Grow Rich (Marathi Edition),Written by: Napoleon Hill,Release Date: 26-09-23,8 hrs and 11 mins
Kasturi Kundal Basai,Written by: OSHO,Release Date: 26-05-17,15 hrs
Andheri Raat [Dark Night],Written by: Surender Mohan Pathak,Release Date: 23-05-24,7 hrs and 29 mins
Satyayoddha Kalki: Eye of Brahma (Hindi Edition),Written by: Kevin Missal,Release Date: 28-10-24,13 hrs and 42 mins
Lost and Found,Written by: Stuti Changle,Release Date: 28-02-23,2 hrs and 53 mins
Fooled by Randomness,Written by: Nassim Nicholas Taleb,Release Date: 07-01-08,10 hrs and 3 mins
Rise of Empire [Dramatized Adaptation],Written by: Michael J. Sullivan,Release Date: 03-01-22,20 hrs and 25 mins
Saat Chiranjeevi (Hindi Edition),Written by: Ramesh Soni,Release Date: 03-10-24,2 hrs and 47 mins
Dhan ko Akarshit Kaise Kare [How to Attract Money],Written by: Dr. Joseph Murphy,Release Date: 26-02-19,2 hrs and 8 mins
The Royal Assignment,"Written by: Terence Gray, Erin Day, Ian Thake",Release Date: 04-11-21,4 hrs and 33 mins
Shatranj Ke Khiladi Aur Anya Kahaniyaan [Chess Players and Other Stories],Written by: Premchand,Release Date: 14-10-21,8 hrs and 38 mins
The Big Questions of Life,Written by: Om Swami,Release Date: 29-10-24,4 hrs and 49 mins
WordMaster,Written by: Denis Waitley,Release Date: 14-10-14,10 hrs and 21 mins
Why Is Sex Fun?,Written by: Jared Diamond,Release Date: 20-06-18,5 hrs and 17 mins
P. G. Wodehouse Volume 2,Written by: P. G. Wodehouse,Release Date: 08-07-21,45 hrs and 27 mins
Anna Karenina,Written by: Leo Tolstoy,Release Date: 12-07-16,35 hrs and 35 mins
Apke Avchetan Man Ki Shakti [The Power of Your Subconscious Mind],Written by: Dr. Joseph Murphy,Release Date: 14-02-19,8 hrs and 37 mins
Love at First Psych,Written by: Cara Bastone,Release Date: 02-03-23,4 hrs and 35 mins
The Search,Written by: Osho,Release Date: 28-12-15,13 hrs and 43 mins
Treasure Island,"Written by: Robert Louis Stevenson, Marty Ross - adaptation",Release Date: 17-08-17,6 hrs and 23 mins
Sochiye Aur Ameer Baniye [Think and Be Rich],Written by: Napoleon Hill,Release Date: 09-01-19,11 hrs and 10 mins
The Alexander Secret,Written by: Christopher C. Doyle,Release Date: 01-01-17,10 hrs and 30 mins
Business Sutra,Written by: Devdutt Pattanaik,Release Date: 01-01-17,11 hrs and 26 mins
Peevat Ram Ras Lagi Khumari,Written by: OSHO,Release Date: 26-05-17,13 hrs and 32 mins
H.G. Wells: The Science Fiction Collection,Written by: H. G. Wells,Release Date: 11-04-19,27 hrs and 15 mins
Complete Spanish Step-by-Step,Written by: Barbara Bregstein,Release Date: 22-10-21,59 hrs
Tigers for Dinner,Written by: Ruskin Bond,Release Date: 01-01-17,39 mins
Arabian Nights: Volume 1,Written by: Marty Ross,Release Date: 15-05-18,8 hrs and 20 mins
The Time Traveler's Wife,Written by: Audrey Niffenegger,Release Date: 08-05-06,17 hrs and 38 mins
Dogs of War,Written by: Frederick Forsyth,Release Date: 02-06-11,13 hrs and 39 mins
Wisdom of the Gods for You and Me,Written by: Devdutt Pattanaik,Release Date: 14-10-19,10 hrs and 14 mins
Art of War,Written by: Sun Tzu,Release Date: 26-10-21,1 hr and 44 mins
No Excuses!,Written by: Brian Tracy,Release Date: 27-12-09,6 hrs and 51 mins
Annihilation of Caste (Marathi Edition),Written by: B. R. Ambedkar,Release Date: 26-09-23,3 hrs and 36 mins
"HBR's 10 Must Reads on Managing Yourself, Vol. 2",Written by: Harvard Business Review,Release Date: 23-03-21,4 hrs and 57 mins
Ramayana Versus Mahabharata,Written by: Devdutt Pattanaik,Release Date: 19-11-19,5 hrs and 13 mins
Justice Jaganathan (Tamil Edition),Written by: Devan,Release Date: 23-03-23,13 hrs and 44 mins
Panchatantra (Telugu Edition),Written by: Vinumaree,Release Date: 31-03-22,7 hrs and 22 mins
Banaras Talkies (Hindi Edition),Written by: Satya Vyas,Release Date: 29-10-18,6 hrs
Sense and Sensibility,Written by: Jane Austen,Release Date: 14-08-18,11 hrs and 25 mins
Everyday Gita,Written by: Sunita Pant Bansal,Release Date: 07-02-23,9 hrs and 38 mins
The Accidental Dating Experiment,Written by: Lauren Blakely,Release Date: 11-04-24,6 hrs and 55 mins
The Tea Girl of Hummingbird Lane,Written by: Lisa See,Release Date: 21-03-17,14 hrs and 7 mins
Secrets on the Fens,Written by: Joy Ellis,Release Date: 04-05-21,10 hrs and 58 mins
Elantris (Dramatized Adaptation),Written by: Brandon Sanderson,Release Date: 11-08-21,18 hrs and 35 mins
To All the Boys I've Loved Before,Written by: Jenny Han,Release Date: 14-01-20,8 hrs and 44 mins
The Reckoning (Part 2 of 2) (Dramatized Adaptation),"Written by: Susanne Valenti, Caroline Peckham",Release Date: 18-03-25,7 hrs and 29 mins
Maps of Meaning,Written by: Jordan B. Peterson,Release Date: 12-06-18,30 hrs and 52 mins
The Book of Wisdom,Written by: Osho,Release Date: 14-12-15,47 hrs and 6 mins
The Devil's Alternative,Written by: Frederick Forsyth,Release Date: 20-01-13,16 hrs and 14 mins
Deep Nutrition,"Written by: Catherine Shanahan M.D., Luke Shanahan",Release Date: 03-01-17,19 hrs and 42 mins
Stree 360 Degrees,Written by: Devdutt Pattanaik,Release Date: 25-04-24,4 hrs and 19 mins
Painted Scars,Written by: Neva Altaj,Release Date: 02-05-23,6 hrs and 25 mins
Whispering in the Dark,Written by: Ruskin Bond,Release Date: 11-12-18,6 hrs and 6 mins
Devi Bhagwat Puran,Written by: Dr. Vinay,Release Date: 19-07-21,7 hrs and 13 mins
Orwell Collection,Written by: George Orwell,Release Date: 12-01-21,16 hrs and 18 mins
"If This Isn't Nice, What Is?",Written by: Kurt Vonnegut,Release Date: 07-05-13,2 hrs and 23 mins
The Essence of the Bhagavad Gita,Written by: Swami Kriyananda,Release Date: 04-05-07,19 hrs and 47 mins
Theft of Swords [Dramatized Adaptation],Written by: Michael J. Sullivan,Release Date: 08-01-22,16 hrs and 59 mins
Ikigai (Marathi Edition),"Written by: Hector Garcia, Fransesc Miralles, Prasad Dhapre - translator",Release Date: 10-01-23,4 hrs and 8 mins
Who Will Cry When You Die? (Hindi),Written by: Robin Sharma,Release Date: 20-02-18,5 hrs and 9 mins
Telepsychics (Hindi Edition),Written by: Joseph Murphy,Release Date: 19-07-19,8 hrs and 17 mins
Love Story of The Mafia King (Hindi Edition),Written by: Early Bird,Release Date: 19-11-24,14 hrs and 8 mins
400 Days,Written by: Chetan Bhagat,Release Date: 29-08-24,9 hrs and 59 mins
A New History of India: From Its Origins to the Twenty-First Century,"Written by: Toby Sinclair, Shobita Punja, Rudrangsh Mukherjee",Release Date: 21-05-24,9 hrs and 47 mins
Maybe This Time,Written by: Cara Bastone,Release Date: 02-05-24,5 hrs and 45 mins
Bajind (Marathi Edition),Written by: Pai. Ganesh Maangude,Release Date: 26-02-25,5 hrs and 39 mins
